name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
N.U.T.S. field trip,"Looking for a physical and mental challenge?  Sign up to visit N.U.T.S. for an obstacle course extravaganza!!  This is an off-site trip to an obstacle course gym; bus to leave at 9:30am and return at 2pm  Permission Form will be sent to your school gmail account; print, sign and return to it room 105 ASAP. Cost $20",0,,1,"1,2","Marybeth, Gail, Taylor Myllari, Nick Graham",,0,Offsite,40,1
Cultural Showcase Planning Session,"We are planning our second annual Cultural Showcase on Discovery Day!  Students who are interested in celebrating the many cultures that are part of our school community are welcome to help out.  Last year, we showcased traditional dress, foods, and art forms.  International Certificate Program students: this option is a great complement to your certificate components.",0,,1,0,Sarah Heagle/BradenH,,0,213,30,1
Cupcake Decorating,Release your inner Cake Boss!  In this session you will learn how to create fun and yummy cupcakes using different cake decorating techniques.  Learn somethng new and have some fun decorating!   Cost: $5,0,,2,0,Victoria Oliver,,0,117,20,1
Mindfulness,"Life causing you Stress... Feeling like your being overwhelmed?  It's time to take control and become EMPOWERED!  This workshop will include a “Sound bath” with Crystal Singing bowls and other instruments to facilitate a deep experience of relaxation.  Expect to lay down, let go, relax as you experience simple yet powerful mindful meditations that you can use daily for your own empowerment.",0,,2,0,CDR,,Jesse Buck,Library,25,1
Yoga,"Looking to relax and find inner peace?  Join Ms. Given for an hour of gentle stretching and yoga. Wear comfortable clothes and bring a water bottle.  Yoga mats are available, but feel free to bring your own.",0,,1,0,Alexis Given,,0,Dance Studio,20,1
Yoga,"Looking to relax and find inner peace?  Join Ms. Given for an hour of gentle stretching and yoga. Wear comfortable clothes and bring a water bottle.  Yoga mats are available, but feel free to bring your own.",0,,2,0,Alexis Given,,0,Dance Studio,20,1
Art class,Cost?,0,,1,0,Amber Arcii,,0,143,20,1
Art class,Cost?,0,,2,0,Amber Arcii,,0,143,20,1
Climbing Wall,"Always wanted to try out the Climbing Wall in our small gym?  Now's your chance! Mr. Ashton will guide you ""through the ropes"" as you learn to climb!   Permission form required...check your school email account and return the form to Room 105.",0,,1,"1,2",Andrew Ashton & John Cutts,,0,Small Gym,15,1
Journaling & Bookmaking,"Make your own traveler's journal style inserts! Create a custom agenda using washi tape and brush pens, and the finest paper around; design your own personal travel journal, diary, inspiriation book, artist collage book...the possibilities are endless! If you want to also create your book cover, bring recycled leather or denim from home and we'll show you how to put it all together! Cost $7",0,,2,0,Shauna Goodson/Amie Lee,,0,202,15,1
Fire Fighting - Specialty,Want to know if you have what it takes to be a Firefighter?  Want to know the secrets of the profession?  Meet Ottawa Fire Fighter Sean Armstrong to get the inside scoop of working at a downtown station specializing in ice and water rescue.,0,,1,0,Kelly Anderson,,Sean Armstrong,214,25,1
Fire Fighting - Specialty,Want to know if you have what it takes to be a Firefighter?  Want to know the secrets of the profession?  Meet Ottawa Fire Fighter Sean Armstrong to get the inside scoop of working at a downtown station specializing in ice and water rescue.,0,,2,0,Kelly Anderson,,Sean Armstrong,214,25,1
Inuit Games,Inuit need to be strong and agile to live on the land. Come and learn the fun and challenging games that Inuit play to ensure their survival!,0,,2,0,Tracie,,Contact:  Ruth Kadlutsiak (Ottawa Inuit Children's Centre,1/2 gym,25,1
Inuit Art Forms,Get introduced to Inuit culture with this interactive presentation on Inuit Art Forms! Participants will learn about Traditional Inuit Throatsinging and Drumming and will get a chance to try it too!,0,,1,0,Tracie,,Contact:  Ruth Kadlutsiak (Ottawa Inuit Children's Centre,146,25,1
Opioid Use in our Community,"This presentation will focus on the types of drugs that are being used in our community and resources that are available for students who have concerns or questions about drug use. Students will also learn about harm reduction work in their community, and how to reduce the risk of harm for the those who are using.  This session will be hosted by our Rideauwood counsellor.",0,,1,0,Tracie,,"Elissa Gazel, Rideauwood counsellor",221,25,1
Opioid Use in our Community,"This presentation will focus on the types of drugs that are being used in our community and resources that are available for students who have concerns or questions about drug use. Students will also learn about harm reduction work in their community, and how to reduce the risk of harm for the those who are using.  This session will be hosted by our Rideauwood counsellor.",0,,2,0,Tracie,,"Elissa Gazel, Rideauwood counsellor",221,25,1
CHEO Nurse,"Have you ever wondered what nurses REALLY do?  Come find out if you have what it takes to become a nurse!  Join the discussion with a Registered Nurse from the CHEO Emergency Department.   She will explain the different types of nurses that exist in Ontario and the education related to each one, the various areas that nurses can be employed in and all the fun (and sometimes not so fun) things that nurses do.   And don't forget...although nursing may sometimes appear to be a female dominated profession there are some pretty talented nurses that also happen to be men out there!",0,,1,"1,2",Tracie/Jacqueline Payne,,Natalie Castonguay,215,25,1
California Rolls,If you LOVE California rolls you have to sign up for this session. Learn how to make your own delicious California rolls with Mrs. Gilby and Mrs. Thompson. The perfect healthy snack!  Cost $5.00,0,,1,0,Deb Tompson and Kara Gilby,,0,116,20,1
Reverse Engineer & Security Software,0,0,,1,"1,2",Tracie/Jacqueline Payne,,Bevan Watkiss,228,25,1
Interior Designer,"We will design your own dream room story boards using visual images, paint samples, fabric swatches.",0,,2,0,Gail,,Tracey Woodman,112,25,1
0,Come away with a clear idea of what it is like to be an interior designer not on TV! Tap into your creative side while learning about the business of design.,0,,0,0,0,,0,0,0,1
Algonquin Culinary Person,0,0,,1,0,Sue ,,Catherine Beddall,119,20,1
Algonquin Culinary Person,0,0,,2,0,Sue ,,Catherine Beddall,119,20,1
