name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
3-D Printing,Engineers use them.  Car companies use them.  Doctors and Dentists use them.  Even space agencies use them.  3D printers are enabling a vast number of industries to open the door to the future.  Come and see a 3D printer in action!!,0,,1,,,,Mike Field,Room 109,15,2
3D Printing using Tinkercad,"Have you ever wanted to custom-make something like an iPhone case, spork, or gift? Take the first steps toward 3D printing by learning how to design objects using the program Tinkercad! 3D printing allows us to create rapid prototypes including drones and prosthetics. If you can imagine it, you can make it!",0,,3,,Carmel Dickson-Rothwell,,Pam Lee-Shanok,Room 228,25,2
Animal Related Careers (Humane Society),"Do you love animals?  The Ottawa Humane Society will be here with a companion animal to speak about animal welfare, volunteer opportunities and careers related to animals.",0,,1,,Tracie Langford,,Stephanie Millar,Room 116,30,2
Animal Related Careers (Humane Society),"Do you love animals?  The Ottawa Humane Society will be here with a companion animal to speak about animal welfare, volunteer opportunities and careers related to animals.",0,,2,,Tracie Langford,,Stephanie Millar,Room 116,30,2
Animal Related Careers (Humane Society),"Do you love animals?  The Ottawa Humane Society will be here with a companion animal to speak about animal welfare, volunteer opportunities and careers related to animals.",0,,3,,Tracie Langford,,Stephanie Millar,Room 116,30,2
Apprenticeships/Tradespersons,Ask a Technician: Interested in a career as a Heavy Equipment Technician?   In this session you will have the opportunity to ask a Toromont CAT Apprentice about his career path to Apprenticeship.,0,,1,,Jen Stewart,,"Toromont, Careers in the Construction Industry, ",Room 115,30,2
Apprenticeships/Tradespersons,Ask a Technician: Interested in a career as a Heavy Equipment Technician?   In this session you will have the opportunity to ask a Toromont CAT Apprentice about his career path to Apprenticeship.,0,,2,,Jen Stewart,,"Toromont, Careers in the Construction Industry, ",Room 115,30,2
Art with Pat Mason,"Join Pat Mason, local artist and former WCSS teacher, as he discusses his style of painting and how he has marketed himself as an artist.  Bring your favourite art medium (pastels, coloured pencils, charcoal, etc) plus your sketchbook.",0,,1,,Tracie Langford,,Pat Mason,Art Room (143),25,2
Art with Pat Mason,"Join Pat Mason, local artist and former WCSS teacher, as he discusses his style of painting and how he has marketed himself as an artist.  Bring your favourite art medium (pastels, coloured pencils, charcoal, etc) plus your sketchbook.",0,,2,,Tracie Langford,,Pat Mason,Art Room (143),25,2
Autism,"Are you interested in a career working with individuals with Autism Spectrum Disorder (ASD)? Emily Pym is the Program Coordinator of the Autism and Behavioural Science program at Algonquin College. She will be speaking about her experience working with individuals with ASD in the field of Applied Behaviour Analysis (ABA), as well as what career and educational options are available.",0,,1,,Jen Stewart,,Emily Pym - IBI specialist,Room 114,30,2
Autism,"Are you interested in a career working with individuals with Autism Spectrum Disorder (ASD)? Emily Pym is the Program Coordinator of the Autism and Behavioural Science program at Algonquin College. She will be speaking about her experience working with individuals with ASD in the field of Applied Behaviour Analysis (ABA), as well as what career and educational options are available.",0,,2,,Jen Stewart,,Emily Pym - IBI specialist,Room 114,30,2
Auto Mechanics for Beginners,Always wanted to know how to change your own tire or oil...well now is your chance!!  Mitch Carroll and Scott Kirk will teach you these two basic automotive skills.  This session is not suitable for students who have previous automotive experience.,0,,1,,Jen Stewart,,Mitch Carroll & Scott Kirk,Auto Shop,15,2
Auto Mechanics for Beginners (Females only session),Always wanted to know how to change your own tire or oil...well now is your chance!!  Mitch Carroll and Scott Kirk will teach you these two basic automotive skills.  This session is for Female students only.,0,,2,,Jen Stewart,,Mitch Carroll & Scott Kirk,Auto Shop,15,2
California Rolls,If you LOVE California rolls you have to sign up for this session. Learn how to make your own delicious California rolls with Mrs. Gilby and Mrs. Thompson. The perfect afternoon snack!,0,,3,,,,Deb Thompson & Kara Gilby,Room 117,20,2
Cardmaking,"Are you feeling crafty? Would you like to capitalize on those communication and style marks on your next project? Come and check out some scrapbooking and card making. Bring a picture to scrapbook or an embellishment you would like to use. Everyone is welcome, no experience necessary",0,,3,,,,Amanda Canham,Room 232,20,2
Careers in Law,"Interested in becoming a lawyer?  Dana Tierney from Tierney Stauffer LLP. has worked in the legal field for over 25 years.  As a practicing partner, Dana can tell you about his journey in law and answer career related questions.",0,,1,,Jen Stewart,,Tierney Stauffer,Room 212,30,2
Careers in Law,"Interested in becoming a lawyer?  Dana Tierney from Tierney Stauffer LLP. has worked in the legal field for over 25 years.  As a practicing partner, Dana can tell you about his journey in law and answer career related questions.",0,,2,,Jen Stewart,,Tierney Stauffer,Room 212,30,2
Careers in the Armed Forces,Considering a career in the Canadian Armed Forces?   An Armed Forces recruiter will describe opportunities for exciting and rewarding careers in the Canadian Military.  Make an informed decision about your future.,0,,1,,CDR,,David Contini,Room 229,30,2
Careers in the Armed Forces,Considering a career in the Canadian Armed Forces?   An Armed Forces recruiter will describe opportunities for exciting and rewarding careers in the Canadian Military.  Make an informed decision about your future.,0,,2,,CDR,,David Contini,Room 229,30,2
Careers in the Armed Forces,Considering a career in the Canadian Armed Forces?   An Armed Forces recruiter will describe opportunities for exciting and rewarding careers in the Canadian Military.  Make an informed decision about your future.,0,,3,,CDR,,David Contini,Room 229,30,2
Carleton University,"Representatives from Carleton University will share insight into programs of study, campus life and answer questions that you may have about transitioning to post-secondary education.",0,,1,,Nerina Doyle/Tracie Langford,,Marilla Bender (Trevor Lewis),Room 211,30,2
Carleton University,"Representatives from Carleton University will share insight into programs of study, campus life and answer questions that you may have about transitioning to post-secondary education.",0,,2,,Nerina Doyle/Tracie Langford,,Marilla Bender (Trevor Lewis),Room 211,30,2
Carleton University,"Representatives from Carleton University will share insight into programs of study, campus life and answer questions that you may have about transitioning to post-secondary education.",0,,3,,Nerina Doyle/Tracie Langford,,Marilla Bender (Trevor Lewis),Room 211,30,2
Climbing Wall,"Always wanted to try out the Climbing Wall in our small gym?  Now is your chance!  Mr. Zuro and Mr. Ashton will guide you ""through the ropes"" as you learn to climb!   This is a double session.  Permission form required...check your school email account and return the form to Room 105.",0,,1,"1,2",,,Andrew Ashton                        Dan Zuro,Small Gym,20,2
Cooking,"Dicing, slicing, and eating until your hearts content... sign up to learn how to cook a delicious, mouth-watering, absolutely scrumptious meal with Mrs. Matthews and Madame Carrier!",0,,1,,,,Rachelle Carrier                 Victoria Matthews,Room 119,20,2
Cooking,"Dicing, slicing, and eating until your hearts content... sign up to learn how to cook a delicious, mouth-watering, absolutely scrumptious meal with Mrs. Matthews and Madame Carrier!",0,,2,,,,Rachelle Carrier                 Victoria Matthews,Room 119,20,2
Crafting with Soapstone,"Get introduced to soapstone carving by joining this session led by Mr. Kicul, who will share with you his passion...crafting beautiful soapstone Inuit carvings.",0,,3,,,,Darryl Kicul,Room 130,10,2
Cupcake Decorating,Release your inner Cake Boss!  In this session you will learn how to create fun and yummy cupcakes using different cake decorating techniques.  Learn somethng new and have some fun decorating!   ,0,,1,,,,Sue McConnell,Room 117,19,2
Cupcake Decorating,Release your inner Cake Boss!  In this session you will learn how to create fun and yummy cupcakes using different cake decorating techniques.  Learn somethng new and have some fun decorating!   ,0,,2,,,,Sue McConnell,Room 117,20,2
Customer Service Online Training Course,Pump up your resume!  Use this session to start working on the ALISON Customer Service Training Course.  This course is offered free of charge in an online format. Computers and space provided to help get you started!,0,,1,,Tracie Langford,,0,Room 101,20,2
Customer Service Online Training Course,Pump up your resume!  Use this session to start working on the ALISON Customer Service Training Course.  This course is offered free of charge in an online format. Computers and space provided to help get you started!,0,,2,,Tracie Langford,,0,Room 101,20,2
Customer Service Online Training Course,Pump up your resume!  Use this session to start working on the ALISON Customer Service Training Course.  This course is offered free of charge in an online format. Computers and space provided to help get you started!,0,,3,,Tracie Langford,,0,Room 101,20,2
